AIR 23-SP-011-412,[]
THE TP616,"['https://www.capitalelectricsupply.com/product/detail/crouse-hinds-series-tp616-steel-duplex-receptacle-utility-box-cover?s=911', 'https://www.gmes.com/crouse-hinds-tp616-utility-box-cover-4-in-l-x-2-1-8-in-w-steel672260.html', 'https://www.eaton.com/us/en-us/skuPage.TP616.html', 'https://www.northcoast.com/product/detail/Cooper-Thepitt-TP616/?s=55315', 'https://www.galco.com/buy/Crouse-Hinds/TP616', 'https://store.usesi.com/crouse-hinds-tp616-steel-1-gang-flat-utility-box-cover-with--1--duplex-receptacle-opening-2-1-8-inch-x-4-inch-67335', 'https://www.irbyutilities.com/product/detail/Crouse-Hinds-TP616?s=128146', 'https://www.kellyhayes.com/tp616-steel-2-duplex-flat-electrical-utility-box-cover.html']"
INT K4236C,"['https://www.ebay.com/itm/Intermatic-K4236C-120-277-Volt-Photocontrols-w-Stem-and-Swivel-Mounting/153790944080', 'https://www.mainelectricsupply.com/itemdetail/ITSK4236C', 'https://www.rexelusa.com/p/76639/intermatic/photocell-15a-480v/078275042889/k4235', 'https://www.rexelusa.com/p/76612/intermatic-photocell-15a-120-277v-078275029606-k4236c']"
4THHNGRN,[]
GRC 21290,['https://www.bell-electrical.com/2384218/Product/Picoma%C2%AE-2%22-GRC-Elbow-90-Deg']
PVC 034MA,"['https://www.amazon.com/Cantex-Terminal-Adapter-Threaded-Schedule/dp/B00QSGBBM6', 'https://www.topaz-usa.com/1032', 'https://www.hirsch.com/2578676/p/n/nibco-l031150']"
PVC 112FA,['https://www.johnson-electric.com/buy/product/pvc-e942h-112fa-fem-adpt-59634/17319']
PVC 50090,"['https://www.mainelectricsupply.com/itemdetail/PVCEL50090D', 'https://www.elliottelectric.com/P/Item/PVF/5133835/', 'https://www.elliottelectric.com/P/Item/PVF/5ELL90/']"
PVC 11290,"['https://www.amazon.com/FORMUFIT-F11290E-BK-4-Furniture-Grade-Degree/dp/B071FFJXJ2', 'https://www.elliottelectric.com/P/Item/PVF/PVC11290/']"
KIL ADUP-12,"['https://www.gexpro.com/usg/Root-Category/Boxes%2C-Enclosures/Enclosures---Industrial-Type/Junction-Boxes/Hazardous-Locations/c/CT10289?q=:relevance:brand:BR113@RexelBrandAliasKillark', 'https://www.dale-electric.com/products/browse/manufacturer/Killark_Electrical_Product/00326/sort:price/page:8']"
KRO 5076470000,['https://www.tessco.com/product/5-cable-entry-boot-1-2-4-hole-430311']
PS 8G1024W,['https://www.ebay.com/p/1400646864']
THE TP516,"['https://www.cooper-electric.com/product/detail/Crouse-Hinds-Comm-TP516/?s=22780', 'https://www.amazon.com/Cooper-Crouse-Hinds-Square-Exposed-Receptacle/dp/B07L7VV86B', 'https://www.ebay.com/p/1200124379', 'https://www.platt.com/platt-electric-supply/4-Square-Boxes-Accessories-Covers/Cooper-Crouse-Hinds/TP516/product.aspx?zpid=721668', 'https://www.gmes.com/crouse-hinds-tp516-one-duplex-receptacle-raised-cover-for-4-in-square-junction-box672189.html', 'https://www.scottelectricusa.com/online-store/product/cooper-crouse-hinds-tp516-hinds-4-inch-square-surface-cover-for-1--duplex-receptacle-/771256']"
12/3MC,"['https://www.ebay.com/p/1717660269', 'https://www.unitedelectric.com/buy/product/HCMC123MCSTATALCOIL-HCMC-12-3-271482-product-HCMC123MCSTATALCOIL-HCMC-12-3/271482']"
HOP MC1380P,"['https://www.hoppes.com/work-bench-and-tools/cleaning-tools/utility-brushes/HO-1380.html', 'https://www.bluecollarfirearms.com/product.hop-utility-brush-nyl', 'https://www.opticsplanet.com/hoppes-gun-cleaning-utility-brushes.html', 'https://mmguns.com/department.cleaning-supplies']"
12RHHRHWGRN,[]
10SOLBLK,"['https://www.elliottelectric.com/P/Item/COP/THHN10S0LBK500/', 'https://www.crawfordelectricsupply.com/product/category/8290', 'https://www.platt.com/platt-electric-supply/THHN-Solid-10-AWG/Multiple/10THHNCSOLBLAX500/product.aspx?zpid=62556']"
EVR 393,"['https://www.batteriesnbulbs.com/page/BnB-Category-Batteries-Alkaline.html', 'https://www.ebay.com/itm/Exell-489A-Alkaline-225V-Battery-NEDA-728-Replaces-ER489-EVR-489-728-/274595931055']"
CAR E977JC,"['https://www.amazon.com/Thomas-Betts-E977JC-CONDUITAMP-Pack/dp/B000KKLUL8', 'https://www.ebay.com/itm/NEW-SEALED-PACK-OF-5-CARLON-2-PVC-CONDUIT-STRAPS-CLAMPS-E977JC-Non-Metalic-/203168520986', 'https://www.rexelusa.com/usr/Root-Category/Fittings/Straps/Straps---PVC/Straps---2-Hole---PVC/c/CT1613?q=%3Arelevance%3Abrand%3ABR45%3Abrand%3ABR840&text=&filter=&aliasname=&partialSearch=']"
14THHNRED25,"['https://www.mainelectricsupply.com/itemdetail/14REDSTR2500R', 'https://www.mainelectricsupply.com/itemdetail/14WHTSTR2500R']"
7X7 STAINLESS STEEL CABLE,[]
AUT AM1-AO-3H,[]
ENC 4037,['https://www.bulbs.com/product/100A19-RS-TOUGH-COAT-SAFETY']
UNI P2484GRN,[]
12THHNBLK/WHT,"['https://www.mainelectricsupply.com/itemdetail/12BLKSTR', 'https://www.platt.com/platt-electric-supply/THHN-Copper-Stranded-12-AWG/Multiple/12THHNCSTRWHIBLA50/product.aspx?zpid=407568']"
4/0-19MHDBC,nan
18TFFNBRN,['https://www.ebay.com/p/1118604896']
16/4PR SHD GENFREE,[]
LED M400/U/ED37,"['https://www.amazon.com/Sylvania-Clear-Metal-Halide-Mogul/dp/B018AGIENK', 'https://www.lightingsupply.com/sylvania-m400-u-ed37.aspx', 'https://www.1000bulbs.com/product/154165/SYLVANIA-64036.html', 'https://www.energyavenue.com/Sylvania/64036', 'https://www.greenelectricalsupply.com/sylvania-metalarc-m400-u-ed37-64036-metal-halide-bulb-replaces-m400-u-64490.aspx', 'https://www.greenelectricalsupply.com/sylvania-metalarc-64037-m400-c-u-ed37-m59-e-metal-halide-light-bulbs.aspx', 'https://www.atlantalightbulbs.com/light-bulbs/metal-halide-bulbs/metal-halide-ed37-bt37-e39-base/m400-u-ed37-sylvania/']"
ENE 393,"['https://www.walmart.com/browse/household-essentials/coin-button-cell-batteries/1115193_1076905_5422648', 'https://www.ebay.com/itm/10-ENERGIZER-393-SR754SW-BATTERIES-SILVER-1-55V-WATCH-BATTERY-393HD-EXP-2024-NEW-/264796889967']"
EFX LT12,"['https://shop.kendallelectric.com/buy/product/3-4-LT-12-EFST-500-REEL-GRAY-SEAL/27096', 'https://www.rexelusa.com/usr/Root-Category/Conduit%2C-Ducts%2C-Raceways/Conduit---Flexible/Flexible-Conduit---Liquidtight/Liquidtight---Metallic/Electri-Flex-12102-Liquidtight-Flexible-Steel-Conduit%2C-Type-LT%2C-3-4%22%2C-Gray%2C-100%27/p/45490', 'https://www.cesco.com/CESCO-3-4-EF-LT-GRAY-LIQ-TITE-RCL-Electri-Flex-EF12-GRY-3-4-E-FLEX-L-T-RCL-Liquatite-reg-Type-EF-Liquidtight-Flexible-Conduit-100-ft-Gray-Steel-PVC-Jacket/p1899151']"
BEL 8730,[]
14/3 GENFREE,"['https://www.nassauelectrical.com/products/genfree-xlpe-lszh-type-tc-ls-individual-and-overall-shielded-pairs-instrumentation-shielded-600v-ul', 'https://www.amazon.com/3-SOOW-Black-600V-Portable-Cable/dp/B07GCKG53Y', 'https://shop.pkys.com/Ancor-131510-Tinned-Copper-143-Triplex-Boat-Cable-14-awg--100-ft-roll_p_6819.html']"
STR 75175,"['https://www.walmart.com/ip/Replacement-Battery-for-Streamlight-75175-Single-Pack-Replacement-Battery/172365952', 'https://www.platt.com/platt-electric-supply/Power-Tools/Batteries-and-Battery-Chargers/search.aspx?sectionid=13&xvoltsdc=3.600&GroupID=172', 'https://www.ebay.com/p/710181246']"
14/7THHN,['https://www.showmecables.com/14-awg-7-conductor-600v-stranded-conductor-unshielded-vntc-tray-cable-per-foot']
16TFFNORG,"['https://www.adiglobaldistribution.pr/product/q3-16tffnorg', 'https://www.munroelectric.com/silvereclipse/index.jsp?path=product&part=33727&ds=dept&process=search&ID=,Building.Wire,Wire,Copper.Wire,TFFN.Wire']"
14THHNGRN25,"[""https://www.scottelectricusa.com/online-store/product/14-awg-stranded-thhn-copper-cu-building-wire-green-2500-ft-2500-feet-2500-foot-2500'/36242"", 'https://www.mainelectricsupply.com/itemdetail/14WHTSTR2500R']"
14THHNWHT25,['https://www.mainelectricsupply.com/itemdetail/14WHTSTR2500R']
14THHNBLK25,['https://www.southwire.com/wire-cable/building-wire/simpull-thhn-wire-with-alumaflex-brand-conductors/p/56266705']
SS A100-3/8,"['https://www.elliottelectric.com/P/Item/TAB/A10038SS/', 'https://www.northcoast.com/product/detail/Thomas-Betts-Superstrut-A100-3-8AL/?s=87515', 'https://www.alliedelec.com/product/abbthomas-betts/a1003-8ss/71490358/', 'https://www.ebay.com/itm/UNISTRUT-SPRING-NUT-A100-3-8EGC-3-8-16-LOT-OF-80-/332176020988', 'https://www.gexpro.com/usg/Root-Category/Fittings/Strut---Fittings-%26-Support/Nuts-Washers/Strut-Spring-Nuts/c/CT5357?q=%3Arelevance%3Abrand%3ABR597&text=&filter=&aliasname=&partialSearch=', 'https://www.rexelusa.com/usr/Root-Category/Fittings/Strut---Fittings-%26-Support/Nuts-Washers/Strut-Spring-Nuts/c/CT5357']"
THE TP414,"['https://www.scottelectricusa.com/online-store/product/cooper-crouse-hinds-tp414-4-inch-square-drawn-outlet-box-1-1-2-inch-deep-with-1-2-inch-and-3-4-inch-kos/771185', 'https://www.irby.com/product/detail/Crouse-Hinds-TP414?s=62088', 'https://www.galco.com/buy/Crouse-Hinds/TP414', 'https://www.frostelectric.com/buy/product/crouse-hinds/3296261?ID=/Boxes-Enclosures-Fittings/Electrical-Steel-Boxes-Accessories/4-Inch-Square-Boxes-Accessories/Boxes/1-1-4-1-1-2-Inch-Deep/dept-5LF', 'https://www.elliottelectric.com/P/Item/ItemCompare/?Catalog1=TP414&Vendor1=CRS&Catalog2=521511234&Vendor2=TAB']"
LIT DMW232MVOLTGEB10PS,['https://www.walmart.com/c/kp/4-fluorescent-light-fixture']
HON TP970B2002,[]
ALP FIT-221-1/2CLR,['https://www.walmart.com/ip/EverStart-5-Piece-Heat-Shrink-Tubing-Model-5105-Black-16-8-4mm-x-76mm-Automotive-Tool/324697472']
ALP FIT-221-1CLR,[]
ALP FIT-221-1-1/2-CLR,[]
PVC 114,"['https://www.elliottelectric.com/P/Item/PVC/PVC114/', 'https://www.platt.com/platt-electric-supply/PVC-Straight-Conduit-Schedule-40/Multiple/114P/product.aspx?zpid=69136', 'https://www.platt.com/platt-electric-supply/PVC-Straight-Conduit-Schedule-40/Multiple/114PX20/product.aspx?zpid=160815', 'https://www.unitedelectric.com/buy/product/PVCSERVICEHEAD114-CONDUIT-PVC/107392?ID=/Conduit-Raceway-and-Strut-Fittings/PVC-Conduit-Fittings/PVC-Connectors-and-Box-Adapters/dept-1L3', 'https://www.iesupply.com/p/sch-40-and-sch-80-pvc-conduit', 'https://www.cooper-electric.com/product/detail/PVC-Conduit-114P?s=10424']"
DIN 2098,[]
PAN 91AF1T24DC,[]
CHR MOT-1562,[]
ENT 11849517,[]
HAL 15T6145V,"['https://www.elliottelectric.com/P/Item/SYL/15T6145V/', 'https://www.elliottelectric.com/P/Item/GEL/15T6145/', 'https://www.amazon.com/Sylvania-18078-15T6-145V-Clear-Cand/dp/B018BB8N9O', 'https://www.amazon.com/Sylvania-15T6-145V-Tubular-Clear-Light/dp/B07L45RW6B', 'https://www.upcitemdb.com/upc/46135180781', 'https://www.ebay.com/itm/2-REPLACEMENT-BULBS-FOR-OSRAM-SYLVANIA-15T6-BL-145V-15W-145V-/133390210660']"
PVC 034LB,"['https://www.supplyworks.com/Sku/626011/carlon-34-in-schedule-40-and-80-pvc-type-lb-conduit-body-034481065425-e986e-ctn', 'https://www.elliottelectric.com/P/Item/PVC/PVC34/']"
ATL MH400/U,"['https://www.atlantalightbulbs.com/light-bulbs/metal-halide-bulbs/metal-halide-ed37-bt37-e39-base/mh400-u-metal-halide/', 'https://www.platt.com/platt-electric-supply/HID-Metal-Halide-MH-Traditional/Philips-Lighting/MH400-U/product.aspx?zpid=882680', 'https://www.1000bulbs.com/product/63759/MH-274498.html', 'https://www.eiko.com/category/3-medium-and-mogul-based-metal-halide-hid-lamps/MH400!2fU', 'https://www.greenelectricalsupply.com/philips-mh400-u-27449-metal-halide-lamps.aspx']"
DIX STBC275,"['https://www.murraycorp.com/tech-tips/worm-drive-clamp-size/', 'https://kscdirect.com/item/DIX+STBC275/DIXON+VALVE+%2526+COUPLING+CO_Stainless+Steel+T-Bolt+Clamp+2-3%252F4%2522']"
HUB QL505,"['https://www.mayerelectric.com/Product/HUBBELL-LIGHTING-HUB-LT-QL-505-FLDLGHT-300-500W-QTZ-785988464340', 'https://www.basupply.com/Hubbell-Lighting-QL-505-Hubbell-Lighting-QL-505-Hubbell-Outdoor-1-Light-Threaded-Standard-Knuckle-Mount-Quartzliter-Quartz-Halogen-Flood-Light-300-500-Watt-Gray/p2121856', 'https://www.northcoast.com/product/detail/Hubbell-Lighting-QL-505-BZ/?s=592404']"
KER 108480,"['https://www.bulbs.com/product/Q1500T3-CL-240V', 'https://www.bulbs.com/product/1500T3Q-P-CL-240V', 'https://www.1000bulbs.com/product/5103/Q-J10380.html', 'https://www.ebay.com/p/1011894003', 'https://www.lightbulbs.com/product/ge-23830', 'https://www.lightbulbs.com/product/sylvania-58857']"
ICM ICM401,"['https://www.ebay.com/itm/ICM-Controls-ICM401-Three-Phase-Line-Volt-Monitor-50-60-Hz-190-600-VAC-/254795579142', 'https://www.amazon.com/ICM-Controls-ICM402-Three-Phase-Protection/dp/B0018MLVUM', 'https://www.amazon.com/ICM-Controls-ICM401-Three-Phase-Protection/dp/B004I5817C', 'https://www.insco.com/2582309/p/n/icm-icm401']"
GAL 7510,"['https://www.rexelusa.com/usr/Root-Category/Connectors%2C-Crimps%2C-Termination/Grounding-Products/Ground-Rods/Ground-Rods---Copper/Galvan-7510-Ground-Rod%2C-Copper-Coated%2C-3-4%22%2C-10%27-Long/p/7570', 'https://www.gordonelectricsupply.com/p/Galvan-7510-3-4-X-10-Ul-Copper-Coated-Rod/6336739', 'https://www.gexpro.com/usg/Root-Category/Connectors%2C-Crimps%2C-Termination/Grounding-Products/Ground-Rods/Ground-Rods---Copper/Galvan-7510-Ground-Rod%2C-Copper-Coated%2C-3-4%22%2C-10%27-Long/p/7570', 'https://www.cesco.com/Galvan-7510-Galvan-7510-Ground-Rod-3-4-Inch-Dia-x-10-ft-Length-0-673-0-683-Inch-Actual-Dia-Black/p1949107', 'https://www.elliottelectric.com/P/Item/CDW/613400/']"
DAZ 6930,[]
ALU 112CPLG,['https://www.rexelusa.com/s/aluminum-rigid-conduit-three-piece-unions?cat=mvi4h76z']
ALU 034CPLG,"['https://www.rexelusa.com/s/aluminum-rigid-conduit-couplings?cat=5qikhq0l', 'https://www.rexelusa.com/s/aluminum-rigid-conduit-three-piece-unions?cat=mvi4h76z', 'https://www.bptfittings.com/store/coupling-conduit-three-piece-aluminum-size-1-1-4-inch.html', 'https://www.topaz-usa.com/52al', 'https://www.elliottelectric.com/P/Item/BRI/1122AL/']"
EFX NM11,"['https://www.cesco.com/Electri-Flex-81011-Electri-Flex-NM11-GRY-1-2-100FT-Liquatite-reg-Liquidtight-Non-Metallic-Flexible-Conduit-1-2-Inch-100-ft-Length-PVC/p2085284', 'https://new.abb.com/products/7TAD012640R0002/1-2in-lt-type-b-cond-pvc-org']"
TRC 14880-118,['https://www.walmart.com/c/kp/gfci-extension-cords']
C70S62/MED/IMPORT,"['https://www.ebay.com/itm/LU70-ED17-LU70-MED-C70S62-M-C70S62M-331926-Lamp-High-Pressure-Sodium-bulb-/143189672686', 'http://faprofessional.com/HPS-Lamp-Light-Bulb-LU70MED-E-ED17/Other-Lights-&-Lighting-100594/', 'https://www.bulbs.com/product/C70S62-M', 'https://www.walmart.com/ip/Plusrite-02002-LU70-ED17-MED-2002-High-Pressure-Sodium-Light-Bulb/184988692', 'https://www.ebay.co.uk/itm/143189672686']"
RAY 815-4F,"['https://www.ebay.com/p/691347841', 'https://www.walmart.com/ip/Rayovac-AA-Alkaline-Batteries-4-Pack/16550956', 'https://www.runnings.com/department/rayovacr-alkaline-aa-battery-4-pack.html']"
SQD 9080MH339,"['https://www.rexelusa.com/usr/Root-Category/Conduit%2C-Ducts%2C-Raceways/DIN-Rail-%26-Accessories/DIN-Rail---Symmetrical/Symmetrical---Slotted/Square-D-9080MH339-DIN-Rail%2C-Symmetrical%2C-35-mm-x-7-5-mm-x-1-m%2C-Steel%2C-Pre-Punched/p/59796', 'https://www.standardelectricsupply.com/brand-schneider-electric/square-d-%28schneider-electric%29-9080mh339-terminal-block/sku-V4401-9080mh339', 'https://www.unitedelectric.com/buy/product/9080MH339/130854']"
EVR 389,"['https://www.gexpro.com/p/67969/energizer/watch-cal-battery-discontinued-/039800017772/389', 'https://www.gexpro.com/usg/Root-Category/Tools%2C-Testing%2C-Meters/Batteries-%26-Chargers/Disposable-Batteries/Button-Coin-Batteries/Energizer-389-WATCH-CAL-BATTERY-Discontinued-/p/67969', 'https://hixenbaughs.drugstore2door.com/249003-500.html', 'https://www.oreillyauto.com/detail/b/max-3506/battery-accessories-16452/batteries---dry-cells-17653/7c644ffe0c91/energizer-max-alkaline-battery-pack-of-8/e92mp8/4291669/2008/peterbilt/389?pos=12']"
ALP FIT-221-1/8 YELLOW,['https://www.stokeselectric.com/products?start=500&display=100&sort=price%20asc']
ALU 200CPLG,['https://www.samsonelectrical.com/product/tpz-56al-2in-al-coupling/']
