RYC HVT152G,[]
GE THQL1150,"['https://www.truevalue.com/qo-50-amp-single-pole-circuit-breaker', 'https://www.ebay.com/itm/1-New-GE-THQL1150-1-Pole-50-Amp-Plug-in-Circuit-Breaker-/132529855684', 'https://www.ebay.com/p/13012062216', 'https://www.elliottelectric.com/P/Item/GED/THQL1150/', 'https://www.toolboxsupply.com/products/ge-thql1150-q-line-single-pole-circuit-breaker-50a-120v']"
UNI F403-6BS,[]
MAC J6765,[]
HAL A19FR100/5,"['https://www.replacementlightbulbs.com/lampsdiscontinuedoutofstock.html', 'https://www.replacementlightbulbs.com/lampshardtofindincandescent.html', 'https://www.rexelusa.com/p/24766/sylvania-incandescent-bulb-rough-service-a19-100w-130v-frosted-discontinued--046135129988-100a-rs-2-rp-130v']"
APL PC100ET,"['https://www.elliottelectric.com/P/Item/APP/PC100ET/', 'https://www.platt.com/platt-electric-supply/Malleable-Iron-Edge-Type-K-Clamps/Appleton/PC100ET/product.aspx?zpid=3132', 'https://www.gexpro.com/usg/Root-Category/Fittings/EMT-Fittings/Iron/Rigid---Edge-Clamps---Iron/Appleton-PC-125ET-Conduit-Clamps%2C-1-1-4%22%2C-Edge-Type%2C-Malleable-Iron%2C-Hot-Dipped-Galvanized/p/28263', 'https://www.rexelusa.com/usr/Root-Category/Fittings/EMT-Fittings/Iron/Rigid---Edge-Clamps---Iron/Appleton-PC-75ET-Conduit-Clamp%2C-3-4%22%2C-Edge-Type%2C-Malleable-Iron%2C-Hot-Dipped-Galvanized/p/28925']"
BRA XSL-102-427,"['https://www.bradyid.com/wire-cable-labels/idxpert-self-laminating-vinyl-wire-lab-labels-cps-3226303?part-number=xsl-102-427', 'https://www.bradyid.com/wire-cable-labels/idxpert-self-laminating-vinyl-wire-lab-labels-cps-3226303?part-number=xsl-115-427', 'https://www.amazon.com/Brady-XSL-427-Idxpert-B-427-Self-Laminating/dp/B008BUAH2M', 'http://salestores.com/stores/xq/xfm/store_id.747/move_to_page.2/page_id.17/categ_id.1387/parent_ids./Jump_To./orderby./qx/store.htm']"
BRA XSL-103-427,['https://www.bradyid.com/wire-cable-labels/idxpert-self-laminating-vinyl-wire-lab-labels-cps-3226303?part-number=xsl-103-427']
BRA XSL-18-427,"['https://www.bradyid.com/wire-cable-labels/idxpert-self-laminating-vinyl-wire-lab-labels-cps-3226303?part-number=xsl-18-427', 'https://www.ebhorsman.com/category-items?cat=7815&page=25', 'https://www.rexelusa.com/s/self-laminating-labels?cat=q2i9h6t2', 'https://www.rexelusa.com/usr/Root-Category/Tools%2C-Testing%2C-Meters/Marking-%26-Labeling/Labels-%26-Refill-Cartridges/Self-Laminating-Labels/c/CT7414']"
SQD SN03,"['https://www.standardelectricsupply.com/Square-D-Schneider-Electric-SN03-Safety-Switch', 'https://www.unitedelectric.com/buy/product/SN03-42188-NEUTRAL-ASSY-INSULATED/60398?ID=/Power-Distribution-Gear/Safety-Switches-Disconnects/Disconnect-Accessories/dept-1MD', 'https://www.gordonelectricsupply.com/p/Square-D-Sn03-Neutral-Assembly-Insulated-Groundable-Cu-Al/2745125', 'https://www.ebay.com/itm/Square-D-Sn03-Neutral-Assembly-240-600Vac-30-60A-/333842620924']"
GE FC8T9CW,"['https://www.amazon.com/GE-Lighting-33774-Diameter-Fluorescent/dp/B00006IBEZ', 'https://catalog.gecurrent.com/catalog/p/33774', 'https://catalog.gecurrent.com/catalog/p/11026']"
HUB 2413,[]
APL ST200L,"['https://www.elliottelectric.com/P/Item/APP/ST200/', 'https://www.platt.com/platt-electric-supply/Liquidtight-Flex-Malleable-Steel-Straights/Appleton/ST200L/product.aspx?zpid=154007', 'https://www.platt.com/platt-electric-supply/Liquidtight-Flex-Connectors-Iron-Straight/Appleton/ST200/product.aspx?zpid=3229', 'https://www.inlineelectric.com/catalog/shop/Conduit-Bodies-Fittings/BX-Non-Metallic-Cable-S-E-C-Liquidtight-Flex-Fittings/Liquid-Tight-Flex-Conduit-Fittings/dept-364?a=1']"
8/4W/GTHHN,"['https://www.gexpro.com/p/92704/omni-cable/tray-cable-type-tc-er-xhhw-8-awg-copper-3-conductor-600v/a60803', 'https://www.rexelusa.com/p/93174/omni-cable/tray-cable-type-tc-er-8-awg-copper-3-conductor-pvc-jacket-600v/a30803', 'https://www.rexelusa.com/usr/Root-Category/Wire%2C-Cable%2C-Cord/Control-Cable/Tray-Cable/Tray-Cable---SDT-TC/Okonite-112-31-3735-Power-%26-Control-Tray-Cable%2C-600V%2C-Type-TC-ER%2C-8-AWG%2C-3-Conductor/p/768757']"
WEI 2118/19-92,[]
ALP 5855-7,[]
CAT5 CABLE,"['https://www.cablesforless.com/Green-Cat5e-Cable-Solid/', 'https://www.ebay.com/itm/172657001380', 'https://www.walmart.com/browse/electronics/networking-cables-accessories/green/3944_3951_126297_1074144/Y29sb3I6R3JlZW4ie']"
LIT LXSWIR120/277ELN,[]
SQD 9001KN399,"['https://www.gordonelectricsupply.com/p/Square-D-9001Kn399-Pushbutton-Legend-Plate-30Mm-Type-K/420614', 'https://www.unitedelectric.com/buy/product/SQUARE-D-AND-TELEMECANIQUE-9001KN399-LEGEND-PLATE-HARMONY-FOR-30MM-OPERATORS/10793?ID=/Control-and-Automation-Gear/Push-Buttons-Pilot-Lights-and-Selector-Switches/Legend-Plates/dept-1O5', 'https://www.rexelusa.com/p/12755/square-d/legend-plate-30mm-aluminum-black-field-silver-text-special-markings/785901652540/9001kn399', 'https://www.province-electric.com/buy/product/Schneider-Electric-9001KN399/CLENC747225c5889b401887095c05712ec0e9', 'https://www.ebay.com/itm/Square-D-9001KN399-Legend-Plate-Lot-Clamp-Auto-Level-Rollover-x-3-Each-/132914835996']"
SQD XCSZ02,"['https://www.amazon.com/Telemecanique-XCSZ02-Wide-Mount-Actuator-Interlock/dp/B007ID9TGI', 'https://www.ebay.com/itm/Telemecanique-XCS-Z02-Wide-Key-tongue-/303559883081?hash=item46ad943949', 'https://www.gordonelectricsupply.com/p/Square-D-Xcsz02-Safety-Interlock-Key-Type-Xcs/2745464', 'https://www.standardelectricsupply.com/Square-D-Schneider-Electric-XCSZ02-Limit-Switch', 'https://www.wildcatelectric.com/product/square-d-telemecanique-xcsz02/99160?text=square+d', 'https://www.province-electric.com/buy/product/Square-D-XCSZ02/CLENCab23f0215db9d74c2362c8f626c87e76']"
CUT BR230,"['https://www.platt.com/platt-electric-supply/Circuit-Breakers-Plug-On-2-Pole/Eaton/BR230/product.aspx?zpid=6372', 'https://www.amazon.com/Cutler-Hammer-BAB2030-Circuit-Breaker/dp/B00KXJTSQ0', 'https://www.munroelectric.com/silvereclipse/index.jsp?path=product&part=29076&ds=dept&process=search&ID=,Breakers..Panels...Gear,Circuit.Breakers,Cutler.Hammer.Circuit.Breakers,Two.Pole.Circuit.Breakers', 'https://munroelectric.com/silvereclipse/index.jsp?path=product&part=29076&process=search&text=cutler%20hammer&previous=1692333', 'https://www.walmart.com/ip/Eaton-BR230-30-Amp-Double-Pole-Circuit-Breaker/21780618']"
MUL 71,[]
MUL 97101,['https://www.amazon.com/Mulberry-Stainless-Standard-Wallplate-Receptacle/dp/B008KLSA8A']
UL 480XLHTCP,"['https://ballastshop.com/480-xlh-tc-p-magnetek-f96-72-60-t12ho-lamps/', 'https://www.bulbsdepot.com/480-slh-tc-p.html', 'https://www.bulbs.com/product/ESB848-46']"
GE 55,"['https://www.skygeek.com/25576.html', 'https://www.replacementlightbulbs.com/lampsdiscontinuedoutofstock.html']"
MUL 97072,"['https://www.ebay.com/p/1208018301', 'https://www.ebay.com/itm/Mulberry-2-Gaug-Toggle-Switch-Satin-Stainless-Cover-97072-Box-of-10-/292664338258']"
UNI 480-SLH-TCP,['https://ballastshop.com/480-slh-tc-p-magnetek-ballast-2-f96-72-60-t12ho-lamps/']
BUR YA4CL,[]
THE TP4600,"['https://www.galco.com/buy/Crouse-Hinds/TP4600', 'https://www.elliottelectric.com/P/Item/CRS/TP4600/', 'https://www.kirbyrisk.com/products/2625624/', 'https://www.gexpro.com/usg/Root-Category/Boxes%2C-Enclosures/Boxes---Non-Metallic/Switch-Outlet-Boxes/Non-Metallic---Switch-Outlet-Boxes---New-Work/c/CT3214?q=:relevance:brand:BR60%40RexelBrandAliasCrouse-Hinds']"
BEL 17250,[]
THE TP588,['http://www.ckelectricalsales.com/upc_files/crousehindsupc.xls']
BEL 9488,[]
LUT NT603P WH,['https://www.emisupply.com/catalog/lutron-nt603pwh-nova-dimmer-incandescenthalogen-3waysinglepole-120v600w-white-p-44788.html']
GE TM2020CCU,[]
SIE Q160,"['https://www.ebay.com/p/1100392534', 'https://www.allfuses.com/q160']"
ASDBRAID3-1/4,[]
3M 2150,"['https://www.3m.com/3M/en_US/company-us/all-3m-products/~/3M-Temflex-Rubber-Splicing-Tape-2155-3-4x22FT/?N=5002385+4294897408&rt=d', 'https://www.elliottelectric.com/P/Item/SCO/2150/', 'https://swiftsupplies.com.au/3m-scotch-23-self-fusing-splicing-electrical-tape-19mm-wide-x-9-metres-long']"
MAR J4654,"['https://www.amazon.com/2-1-Liquid-Filled-Pressure-Gauges/dp/B006JJ7I0Q', 'https://www.amazon.com/2-1-Liquid-Filled-Pressure-Gauges/dp/B006JJ7IGK']"
MAD CGBI300,"['https://www.gordonelectricsupply.com/p/Madison-Cbgi-300-3In-Ins-Grd-Bshg/6510603', 'https://www.elliottelectric.com/P/Item/BRI/390/', 'https://www.platt.com/platt-electric-supply/Bushings-Grounding-Ground-Threaded/Multiple/34DCIGBU/product.aspx?zpid=169854']"
MAD CGBI100,"['https://www.platt.com/platt-electric-supply/Bushings-Grounding-Ground-Threaded/Multiple/1DCIGBU/product.aspx?zpid=169855', 'https://www.lumen.ca/en/products/11-conduit-raceway-strut/03-conduit-fittings/02-metallic-conduit-fittings/12-rigid-conduit-fittings/09-grounding-bushings/p-dGhvMzk5Mw==-tho3993-bush-w-lug-insulated-ground-2-12in-6-40awg', 'https://www.mainelectricsupply.com/itemdetail/ARL453', 'http://www.aifittings.com/catalog/grounding/insulated-metal-grounding-bushings/454', 'https://www.elliottelectric.com/P/Item/BRI/390/', 'https://www.lightingsupply.com/garvin-h100.aspx']"
MAD CGBI75,"['https://www.platt.com/platt-electric-supply/Bushings-Grounding-Ground-Threaded/Multiple/34DCIGBU/product.aspx?zpid=169854', 'https://www.cesco.com/Madison-CBGI-75-Madison-CBGI-75-Insulated-Grounding-Bushing-3-4-Inch-Threaded-x-Screw-Die-Cast-Zinc/p1956125', 'https://www.garvinindustries.com/sgb75', 'https://www.lumen.ca/en/products/11-conduit-raceway-strut/03-conduit-fittings/02-metallic-conduit-fittings/12-rigid-conduit-fittings/09-grounding-bushings/p-dGhvMzk5Mw==-tho3993-bush-w-lug-insulated-ground-2-12in-6-40awg', 'https://www.lumen.ca/en/products/11-conduit-raceway-strut/03-conduit-fittings/02-metallic-conduit-fittings/12-rigid-conduit-fittings/14-threaded-fittings/p-dGhvMzg2MQ==-tho3861-bush-grounding-electro-zinc-plated-12-conduit', 'https://www.mainelectricsupply.com/itemdetail/ARL453']"
BEL 9330,[]
DWY 1910-20,['https://www.ebay.com/itm/Dwyer-1910-20-differential-pressure-switch-4-20-Series-1900/132816723479']
TB RSL13,"['https://www.elliottelectric.com/P/Item/TAB/RSL13/', 'https://www.standardelectricsupply.com/Thomas-And-Betts-RS13-Electrical-Box-Cover']"
RAY HDC,['https://www.supplyhog.com/c/electrical/batteries-flashlights/household-batteries/p/rayovac-alkaline-battery-2']
SIE WP44,"['https://mall.industry.siemens.com/mall/EN/US/Catalog/Product/?mlfb=US2%3AWP44', 'https://www.edwardssupply.com/nema-type-1-metallic-enclosures-boxes-cabinets/-siewp44-87977.html']"
UNI P1212EG,['https://www.mescoelectricalsupply.com/B-Line-B2209ZN-B-Line-Systems-B2209-ZN-3-4-Zinc-Electroplated-Conduit-to-Strut-Clamp-3-4-In/p2895732']
TB 72C6,"['https://www.frommelectric.com/3013928/Product/', 'https://www.elliottelectric.com/P/Item/TAB/72171341/', 'https://www.elliottelectric.com/P/Item/TAB/721511234E/']"
SQD 9080LB33,"['https://www.alliedelec.com/product/squared/9080lb33/70061010/', 'https://www.standardelectricsupply.com/Square-D-Schneider-Electric-9080LB33-Terminal-Block', 'https://www.rexelusa.com/p/780/square-d/power-distribution-block-cover-lb-3-pole/785901139331/9080lb33']"
14SOLWHT,[]
MIC LSF3K5,[]
MIL 5T8K2,"['https://www.cesco.com/Milbank-5T8K2-Milbank-5T8K2-Plug-In-Fifth-Terminal-Kit-125-200-Amp-Bolt-In-Mount/p2063017', 'https://www.rexelusa.com/usr/Root-Category/Power-Distribution/Metering-%26-Temporary-Power/Meters-%26-Accessories/Meters---Fifth-Jaw-Kits/Milbank-5T8K2-Meter%2C-5th-Terminal-Assembly%2C-100-200A%2C-Plug-In-Style/p/43995']"
SQD HC6SN,"['https://www.samsonelectrical.com/product/sqd-hc6sn-panelboard-solid-neutral/', 'https://www.gordonelectricsupply.com/p/Square-D-Hc6Sn-Panelboard-Solid-Neutral/8995', 'https://www.winsupplyinc.com/square-d/_/A-01734380', 'https://www.crawfordelectricsupply.com/product/detail/Square-D-Schneider-HC6SN/?s=17931']"
SQD EIK2,"['https://www.granitecityelectric.com/index.jsp?path=product&title=eik2&part=18013', 'https://www.standardelectricsupply.com/Square-D-Schneider-Electric-EIK2-Safety-Switch', 'https://www.crawfordelectricsupply.com/product/detail/Square-D-Schneider-EIK2?s=36671', 'https://www.gordonelectricsupply.com/p/Square-D-Eik2-Kit-Electrical-Interlock-Switch/421095']"
SQD 9080LB51,"['https://www.capitalelectricsupply.com/product/detail/Square-D-Schneider-9080LB51/?s=222129', 'https://www.gordonelectricsupply.com/p/Square-D-9080Lb51-Power-Distribution-Block-Cover-Lb-1-Pole/5590029', 'https://www.interstate-electrical.com/buy/product/9080lb51/30412', 'https://www.province-electric.com/buy/product/Square-D-9080LB51/CLENC0a6217237c6642dceeb3223534fb4fe0', 'https://www.unitedelectric.com/buy/product/9080LB51-00149-POWER-DISTRIBUTION-502274-product-9080LB51-00149-POWER-DISTRIBUTION/502274', 'https://www.1sourcedist.com/product/detail/Schneider-Electric-9080LB52?s=4855076']"
MIL MS-260,['https://www.skygeek.com/military-specification-ms260-16oz-cleaner-aerosol-16-oz.html']
SIE MMSKG1,"['https://www.rexelusa.com/usr/Root-Category/Control%2C-Automation/Starters-%26-Contactors/Manual-Starters-Switches/Manual-Starters---Toggle-Type/Siemens-MMSKG1-MANUAL-SWITCH%2CTOGGLE%2C2-POLE%2CNEMA-TYPE-1/p/248461', 'https://franklinempire.com/en/mmskg1-6128-mmskg1.html', 'https://www.edwardssupply.com/trade-service/controls/industrial-motor-controls/motor-load-control-switches/manual-motor-switches-accessories/-siemmskg1-64584.html', 'https://mall.industry.siemens.com/mall/en/us/Catalog/Product/?mlfb=US2%3AMMSKG1']"
MUE 29RED,[]
THE TP610,"['https://www.elliottelectric.com/P/Item/ItemCompare/?Catalog1=TP610&Vendor1=CRS&Catalog2=58C4&Vendor2=TAB', 'https://www.elliottelectric.com/P/Item/CRS/TP610/', 'https://www.irbyutilities.com/product/category/17552']"
3M 1300 SG,"['https://www.amazon.com/3M-1300-Neoprene-Performance-Adhesive/dp/B0012IYOH4', 'https://www.ebay.com/p/16012029715', 'https://www.walmart.com/ip/3M-Black-Super-Weatherstrip-Adhesive-03602-1-oz/16913677', 'https://www.e-aircraftsupply.com/products/tapes/6292545/00021200198731']"
EFX LA10,[]
RYC HVBT2R,"['https://www.platt.com/platt-electric-supply/Insulating-And-Splicing-Shielding-Tape/TE-Connectivity/HVBT-2-R-01/product.aspx?zpid=83746', 'https://www.rexelusa.com/usr/Root-Category/Fasteners/Tapes/Insulating-And-Splicing/Fire-And-Electrical-Arc-Proofing/nVent-Raychem-HVBT-2-R-Busbar-Insulating-Tape%2C-2%22-Wide%2C-High-Voltage%2C-Heat-Shrinkable/p/31664', 'https://www.stateelectric.com/products/te-connectivity-hvbt-2-r-01-b4-/']"
RAY 301K,"['https://www.batteryjunction.com/rayovac-301k.html', 'https://www.ebay.com/p/1700108990']"
MAD LRB36,"['https://www.gordonelectricsupply.com/p/Madison-Lrb-36-4X3-Red-Bshg/6510645', 'https://www.ebay.com/itm/Metal-Flower-Hand-Hammered-Forged-Long-Stem-Steel-Rose-Red-Natural-Stem-MAD-F3-/264174341104?_ul=IN']"
12THHNGRN/WHT,['https://www.frommelectric.com/3086839/p/n/generic-thhn-building-wire-600-vac-1-12-awg-stranded-copper-conductor-500-ft-spoolreel-l-green']
BEL 9535,"['https://www.showmecables.com/belden-9535-5-conductors-24-awg-shielded-pvc-computer-cable-for-eia-rs-232-applications', 'http://anaheimwire.online/bel-9535/']"
BUS 63NHG00B,"['https://www.rexelusa.com/p/1255819/eaton-bussmann-series-buss-63nhg0b-nh-fuse-63a-500v-gg-gl-051712232807-63nhg0b', 'https://shop.kendallelectric.com/buy/product/63nhg00b-690-bus-fuse-nh-63amp-690v-gg-size-00-05171219317-3/3577358', 'https://ep-us.mersen.com/products/product/e213996-nh000gg50v63']"
LUD F62 12-8,['https://www.skygeek.com/military-specification-a-a-52080-series-nylon-lacing-cord.html']
GE 120R40/FL,"['https://www.ebay.com/itm/GE-47725-120R40-FL-STG-CVG-130V/362789245582', 'https://www.replacementlightbulbs.com/lampshardtofindincandescent.html', 'https://www.replacementlightbulbs.com/lampsdiscontinuedoutofstock.html', 'https://www.upcitemdb.com/upc/43168274289', 'http://kerstask.salesdigital.us/694.htm']"
EFX LT13,['https://www.standardelectricsupply.com/Electri-Flex-LT13-BLK-1-IN-100FT-Electrical-Conduit']
LAK V182ST19,['https://catalog.belden.com/index.cfm?event=pd&p=PF_1337A']
PHI SL/17,"['https://www.ebay.com/itm/NOS-VINTAGE-PHILIPS-EARTH-LIGHT-SL-17-27-ENERGY-SAVING-BULB-60W-10000-HOURS-/224128448402', 'https://www.rgf.com/replacement-cells/']"
PS SA8,['https://www.frommelectric.com/2705415/p/n/wiring-device-kellems-sa8']
SQD HGA36150,"['https://www.crawfordelectricsupply.com/product/detail/Square-D-Schneider-HGA36150/?s=36464', 'https://www.ebay.com/p/1729041648', 'https://www.ebay.com/itm/NEW-Square-D-PowerPact-HGA36150-KA36150-Circuit-Breaker-150A-150-Amp-480-600V-/273658514845', 'https://www.southlandelectrical.com/ItemDesc.asp?IC=HGA36150-NS', 'https://www.superbreakers.com/square-d-hga36150-3-pole-circuit-breaker']"
PRO 335030,[]
